iter	Passed	Remaining
0	4	4665
1	11	5942
2	20	6948
3	31	7901
4	40	8026
5	47	7909
6	56	7950
7	63	7887
8	73	8041
9	80	7933
10	99	8985
11	109	9005
12	117	8883
13	127	8958
14	133	8743
15	141	8685
16	149	8621
17	157	8578
18	163	8417
19	169	8320
20	178	8325
21	189	8420
22	195	8314
23	203	8273
24	218	8534
25	225	8437
26	232	8371
27	239	8308
28	248	8322
29	255	8271
30	302	9465
31	330	9988
32	351	10286
33	384	10938
34	422	11638
35	432	11591
36	460	11991
37	507	12839
38	518	12774
39	527	12650
40	538	12593
41	546	12469
42	554	12342
43	563	12239
44	571	12138
45	581	12066
46	590	11963
47	597	11855
48	607	11786
49	616	11718
50	629	11721
51	637	11619
52	648	11592
53	655	11491
54	663	11397
55	670	11301
56	678	11228
57	689	11195
58	697	11130
59	705	11046
60	712	10963
61	718	10877
62	726	10804
63	732	10713
64	740	10645
65	749	10607
66	757	10546
67	763	10468
68	776	10479
69	784	10417
70	790	10343
71	798	10288
72	807	10258
73	818	10240
74	826	10191
75	835	10162
76	852	10215
77	879	10399
78	889	10370
79	898	10331
80	908	10306
81	917	10271
82	923	10204
83	930	10143
84	941	10138
85	949	10087
86	955	10026
87	961	9962
88	969	9919
89	975	9859
90	981	9805
91	986	9737
92	995	9709
93	1003	9667
94	1012	9645
95	1020	9610
96	1028	9572
97	1034	9523
98	1043	9492
99	1056	9511
100	1064	9473
101	1100	9688
102	1126	9806
103	1139	9814
104	1147	9778
105	1157	9761
106	1163	9708
107	1174	9701
108	1183	9672
109	1193	9653
110	1205	9656
111	1215	9638
112	1238	9722
113	1244	9673
114	1262	9714
115	1275	9721
116	1286	9705
117	1291	9655
118	1299	9618
119	1305	9572
120	1313	9540
121	1320	9500
122	1326	9456
123	1333	9421
124	1341	9387
125	1350	9370
126	1357	9328
127	1364	9294
128	1374	9279
129	1384	9264
130	1390	9225
131	1398	9197
132	1406	9169
133	1413	9136
134	1424	9128
135	1443	9168
136	1450	9138
137	1457	9105
138	1465	9080
139	1475	9062
140	1482	9031
141	1489	8999
142	1496	8965
143	1505	8948
144	1511	8914
145	1518	8884
146	1525	8854
147	1533	8830
148	1540	8798
149	1547	8770
150	1553	8736
151	1559	8701
152	1567	8678
153	1574	8650
154	1581	8622
155	1587	8586
156	1595	8568
157	1604	8552
158	1621	8578
159	1628	8551
160	1635	8522
161	1646	8517
162	1656	8506
163	1666	8492
164	1675	8477
165	1681	8446
166	1686	8411
167	1693	8388
168	1700	8360
169	1705	8325
170	1713	8308
171	1719	8279
172	1728	8263
173	1738	8254
174	1745	8229
175	1751	8201
176	1760	8186
177	1767	8164
178	1774	8139
179	1780	8109
180	1785	8081
181	1792	8058
182	1802	8049
183	1810	8029
184	1818	8012
185	1830	8011
186	1837	7989
187	1843	7963
188	1857	7971
189	1868	7965
190	1879	7959
191	1893	7967
192	1898	7938
193	1906	7919
194	1911	7890
195	1917	7866
196	1924	7843
197	1930	7818
198	1935	7792
199	1941	7767
200	1947	7742
201	1958	7738
202	1965	7716
203	1970	7689
204	1976	7664
205	1983	7645
206	1991	7628
207	1999	7613
208	2006	7594
209	2015	7583
210	2023	7567
211	2034	7561
212	2054	7592
213	2063	7579
214	2080	7596
215	2100	7622
216	2109	7610
217	2146	7698
218	2163	7714
219	2168	7689
220	2175	7667
221	2182	7647
222	2189	7630
223	2198	7615
224	2228	7675
225	2240	7672
226	2249	7658
227	2255	7637
228	2264	7622
229	2271	7603
230	2278	7584
231	2284	7563
232	2291	7544
233	2297	7521
234	2306	7509
235	2313	7488
236	2319	7469
237	2325	7445
238	2332	7427
239	2342	7418
240	2351	7406
241	2357	7385
242	2363	7363
243	2372	7349
244	2378	7328
245	2387	7316
246	2395	7304
247	2412	7314
248	2419	7297
249	2430	7292
250	2438	7275
251	2445	7258
252	2452	7239
253	2458	7221
254	2468	7212
255	2477	7199
256	2488	7192
257	2500	7192
258	2508	7176
259	2514	7156
260	2519	7134
261	2527	7118
262	2534	7101
263	2542	7088
264	2548	7068
265	2553	7046
266	2564	7039
267	2570	7021
268	2577	7003
269	2582	6983
270	2597	6986
271	2605	6973
272	2611	6954
273	2616	6932
274	2623	6915
275	2634	6910
276	2641	6893
277	2646	6874
278	2660	6874
279	2666	6856
280	2673	6839
281	2678	6820
282	2689	6814
283	2695	6795
284	2706	6790
285	2713	6774
286	2723	6766
287	2729	6747
288	2735	6729
289	2740	6710
290	2747	6694
291	2753	6677
292	2759	6658
293	2768	6647
294	2774	6629
295	2782	6618
